,return_pct,trades,win_rate,avg_ret
2018,-7.5,12.0,8.3,-6.268313224996594
2019,0.0,,,
2020,11.1,19.0,26.3,4.209772086244377
2021,65.5,52.0,51.9,14.26507603814014
2022,6.6,22.0,22.7,3.5148842210645053
2023,58.8,34.0,52.9,11.814022095137679
2024,8.5,75.0,34.7,3.253153627315595
2025,-14.4,25.0,16.0,-3.5432859705532604
2026,8.0,17.0,52.9,4.538624114308147
