,0
2017-01-02,0.0
2017-01-03,0.0
2017-01-04,0.0
2017-01-05,0.0
2017-01-06,0.0
2017-01-09,0.0
2017-01-10,0.0
2017-01-11,0.0
2017-01-12,0.0
2017-01-13,0.0
2017-01-16,0.0
2017-01-17,0.0
2017-01-18,0.0
2017-01-19,0.0
2017-01-20,0.0
2017-01-23,0.0
2017-01-24,0.0
2017-01-25,0.0
2017-01-27,0.0
2017-01-30,0.0
2017-01-31,0.0
2017-02-01,0.0
2017-02-02,0.0
2017-02-03,0.0
2017-02-06,0.0
2017-02-07,0.0
2017-02-08,0.0
2017-02-09,0.0
2017-02-10,0.0
2017-02-13,0.0
2017-02-14,0.0
2017-02-15,0.0
2017-02-16,0.0
2017-02-17,0.0
2017-02-20,0.0
2017-02-21,0.0
2017-02-22,0.0
2017-02-23,0.0
2017-02-27,0.0
2017-02-28,0.0
2017-03-01,0.0
2017-03-02,0.0
2017-03-03,0.0
2017-03-06,0.0
2017-03-07,0.0
2017-03-08,0.0
2017-03-09,0.0
2017-03-10,0.0
2017-03-14,0.0
2017-03-15,0.0
2017-03-16,0.0
2017-03-17,0.0
2017-03-20,0.0
2017-03-21,0.0
2017-03-22,0.0
2017-03-23,0.0
2017-03-24,0.0
2017-03-27,0.0
2017-03-28,0.0
2017-03-29,0.0
2017-03-30,0.0
2017-03-31,0.0
2017-04-03,0.0
2017-04-05,0.0
2017-04-06,0.0
2017-04-07,0.0
2017-04-10,0.0
2017-04-11,0.0
2017-04-12,0.0
2017-04-13,0.0
2017-04-17,0.0
2017-04-18,0.0
2017-04-19,0.0
2017-04-20,0.0
2017-04-21,0.0
2017-04-24,0.0
2017-04-25,0.0
2017-04-26,0.0
2017-04-27,0.0
2017-04-28,0.0
2017-05-02,0.0
2017-05-03,0.0
2017-05-04,0.0
2017-05-05,0.0
2017-05-08,0.0
2017-05-09,0.0
2017-05-10,0.0
2017-05-11,0.0
2017-05-12,0.0
2017-05-15,0.0
2017-05-16,0.0
2017-05-17,0.0
2017-05-18,0.0
2017-05-19,0.0
2017-05-22,0.0
2017-05-23,0.0
2017-05-24,0.0
2017-05-25,0.0
2017-05-26,0.0
2017-05-29,0.0
2017-05-30,0.0
2017-05-31,0.0
2017-06-01,0.0
2017-06-02,0.0
2017-06-05,0.0
2017-06-06,0.0
2017-06-07,0.0
2017-06-08,0.0
2017-06-09,0.0
2017-06-12,0.0
2017-06-13,0.0
2017-06-14,0.0
2017-06-15,0.0
2017-06-16,0.0
2017-06-19,0.0
2017-06-20,0.0
2017-06-21,0.0
2017-06-22,0.0
2017-06-23,0.0
2017-06-27,0.0
2017-06-28,0.0
2017-06-29,0.0
2017-06-30,0.0
2017-07-03,0.0
2017-07-04,0.0
2017-07-05,0.0
2017-07-06,0.0
2017-07-07,0.0
2017-07-10,0.0
2017-07-11,0.0
2017-07-12,0.0
2017-07-13,0.0
2017-07-14,0.0
2017-07-17,0.0
2017-07-18,0.0
2017-07-19,0.0
2017-07-20,0.0
2017-07-21,0.0
2017-07-24,0.0
2017-07-25,0.0
2017-07-26,0.0
2017-07-27,0.0
2017-07-28,0.0
2017-07-31,0.0
2017-08-01,0.0
2017-08-02,0.0
2017-08-03,0.0
2017-08-04,0.0
2017-08-07,0.0
2017-08-08,0.0
2017-08-09,0.0
2017-08-10,0.0
2017-08-11,0.0
2017-08-14,0.0
2017-08-16,0.0
2017-08-17,0.0
2017-08-18,0.0
2017-08-21,0.0
2017-08-22,0.0
2017-08-23,0.0
2017-08-24,0.0
2017-08-28,0.0
2017-08-29,0.0
2017-08-30,0.0
2017-08-31,0.0
2017-09-01,0.0
2017-09-04,0.0
2017-09-05,0.0
2017-09-06,0.0
2017-09-07,0.0
2017-09-08,0.0
2017-09-11,0.0
2017-09-12,0.0
2017-09-13,0.0
2017-09-14,0.0
2017-09-15,0.0
2017-09-18,0.0
2017-09-19,0.0
2017-09-20,0.0
2017-09-21,0.6953125
2017-09-22,0.6245173745173745
2017-09-25,0.5712918660287082
2017-09-26,0.5899143672692674
2017-09-27,0.5355450236966824
2017-09-28,0.5521821631878557
2017-09-29,0.5833333333333334
2017-10-03,0.5835694050991501
2017-10-04,0.5982986767485823
2017-10-05,0.6213408876298395
2017-10-06,0.6355051935788479
2017-10-09,0.6522148916116871
2017-10-10,0.6666666666666666
2017-10-11,0.6581680830972616
2017-10-12,0.67233238904627
2017-10-13,0.6704438149197356
2017-10-16,0.667608286252354
2017-10-17,0.6757775683317625
2017-10-18,0.6874409820585458
2017-10-23,0.6898496240601504
2017-10-24,0.706880301602262
2017-10-25,0.716572504708098
2017-10-26,0.7236842105263158
2017-10-27,0.7323943661971831
2017-10-30,0.7392120075046904
2017-10-31,0.7474178403755869
2017-11-01,0.7615023474178404
2017-11-02,0.7699530516431925
2017-11-03,0.7795497185741088
2017-11-06,0.7853795688847235
2017-11-07,0.748356807511737
2017-11-08,0.7291471415182755
2017-11-09,0.7319587628865979
2017-11-10,0.7331460674157303
2017-11-13,0.7181647940074907
2017-11-14,0.6982193064667291
2017-11-15,0.6676029962546817
2017-11-16,0.6872659176029963
2017-11-17,0.6981308411214954
2017-11-20,0.7221702525724977
2017-11-21,0.7305893358278766
2017-11-22,0.7233644859813084
2017-11-23,0.7411214953271028
2017-11-24,0.7467289719626168
2017-11-27,0.7598130841121495
2017-11-28,0.7654205607476635
2017-11-29,0.7668539325842697
2017-11-30,0.7474275023386342
2017-12-01,0.7467289719626168
2017-12-04,0.7315247895229187
2017-12-05,0.7245564892623716
2017-12-06,0.7024253731343284
2017-12-07,0.7292250233426704
2017-12-08,0.7472014925373134
2017-12-11,0.7567567567567568
2017-12-12,0.7488372093023256
2017-12-13,0.7348837209302326
2017-12-14,0.7262569832402235
2017-12-15,0.7409470752089137
2017-12-18,0.7407063197026023
2017-12-19,0.7713754646840149
2017-12-20,0.7845868152274837
2017-12-21,0.8059424326833797
2017-12-22,0.8107606679035251
2017-12-26,0.8183503243744208
2017-12-27,0.8287037037037037
2017-12-28,0.8243992606284658
2017-12-29,0.8280961182994455
2018-01-01,0.8345656192236599
2018-01-02,0.8382624768946395
2018-01-03,0.8419593345656192
2018-01-04,0.8548983364140481
2018-01-05,0.8724584103512015
2018-01-08,0.8818097876269622
2018-01-09,0.889196675900277
2018-01-10,0.8790397045244691
2018-01-11,0.8800738007380073
2018-01-12,0.8809963099630996
2018-01-15,0.8857142857142857
2018-01-16,0.8543778801843318
2018-01-17,0.8525345622119815
2018-01-18,0.8193548387096774
2018-01-19,0.823963133640553
2018-01-22,0.8276497695852535
2018-01-23,0.8195211786372008
2018-01-24,0.8058877644894205
2018-01-25,0.7948482060717571
2018-01-29,0.7672493100275989
2018-01-30,0.7371323529411765
2018-01-31,0.7224264705882353
2018-02-01,0.7221711131554738
2018-02-02,0.6075367647058824
2018-02-05,0.5950413223140496
2018-02-06,0.5311926605504587
2018-02-07,0.5867768595041323
2018-02-08,0.6467889908256881
2018-02-09,0.6394495412844037
2018-02-12,0.6853211009174311
2018-02-14,0.691743119266055
2018-02-15,0.6522935779816513
