start,end,years,final_equity,total_return_pct,cagr_pct,max_dd_pct,calmar,sharpe,trades,avg_open_positions,exposure_pct,win_rate_pct,avg_win_pct,avg_loss_pct,avg_ret_pct,median_ret_pct,profit_factor,avg_r,avg_hold,best_pct,worst_pct,is_cagr,is_dd,oos_cagr,oos_dd,label
2017-10-16,2026-09-09,8.9,3406955,240.9,14.78,-37.02,0.4,0.9,464,6.52,65.2,35.3,22.79,-6.51,3.84,-2.82,1.64,0.31,30.9,666.9,-21.0,13.1,-37.0,16.9,-24.2,  gate breadth>40
2017-10-16,2026-09-09,8.9,1572902,57.4,5.23,-44.15,0.12,0.41,403,5.25,52.5,31.3,20.56,-6.58,1.9,-3.69,1.28,0.16,28.6,179.4,-14.3,-1.4,-40.9,15.0,-22.5,  gate breadth>50
2017-10-16,2026-09-09,8.9,2386215,138.7,10.27,-33.43,0.31,0.62,713,8.96,89.6,36.2,14.69,-5.88,1.56,-2.36,1.39,0.13,27.6,159.8,-24.8,5.4,-33.4,16.9,-27.6,  entry=limit_close
2017-10-16,2026-09-09,8.9,3902992,290.6,16.55,-39.18,0.42,0.88,660,8.78,87.8,33.5,21.81,-6.5,2.98,-3.14,1.6,0.24,29.3,666.9,-24.9,11.9,-39.2,23.1,-20.6,  drop None (n=6587)
2017-10-16,2026-09-09,8.9,3661621,266.4,15.71,-40.37,0.39,0.83,672,8.83,88.3,33.6,21.39,-6.52,2.87,-3.24,1.52,0.23,28.9,666.9,-24.9,12.6,-40.4,19.8,-21.2,  drop trig30_90 (n=6830)
2017-10-16,2026-09-09,8.9,2506474,150.8,10.89,-43.86,0.25,0.63,695,8.9,89.0,34.2,19.38,-6.48,2.38,-2.9,1.35,0.19,28.2,666.9,-24.9,8.0,-43.9,14.7,-24.9,  drop above200 (n=8432)
2017-10-16,2026-09-09,8.9,3979167,298.2,16.8,-45.23,0.37,0.9,677,8.93,89.3,33.7,22.46,-6.65,3.15,-3.29,1.6,0.26,29.0,666.9,-24.9,13.2,-45.2,21.7,-21.6,  drop tsma>=2cr (n=7462)
2017-10-16,2026-09-09,8.9,3353098,235.5,14.57,-41.43,0.35,0.78,680,8.93,89.3,33.7,20.98,-6.67,2.64,-3.57,1.49,0.22,28.9,666.9,-21.0,11.5,-41.4,18.7,-24.1,  drop adr<=6 (n=6862)
2017-10-16,2026-09-09,8.9,4207671,321.1,17.53,-39.06,0.45,0.88,663,8.86,88.6,33.5,22.65,-6.67,3.15,-3.29,1.58,0.26,29.4,666.9,-24.9,13.7,-39.1,23.0,-20.4,  drop chg<=10 (n=6852)
2017-10-16,2026-09-09,8.9,3338507,234.1,14.52,-39.53,0.37,0.79,662,8.9,89.0,35.2,20.0,-6.72,2.69,-3.14,1.55,0.22,29.6,666.9,-25.4,10.8,-39.5,19.6,-24.1,  drop ret5<15 (n=7194)
2017-10-16,2026-09-09,8.9,3225490,222.8,14.08,-41.3,0.34,0.77,660,8.83,88.3,33.6,21.01,-6.62,2.67,-3.21,1.5,0.22,29.4,666.9,-24.9,9.2,-41.3,20.9,-19.4,  drop ret20<30 (n=6790)
2017-10-16,2026-09-09,8.9,4718651,372.2,19.06,-41.71,0.46,0.97,706,9.06,90.6,37.0,18.51,-6.12,2.98,-2.39,1.66,0.24,28.2,666.9,-24.9,18.9,-41.7,18.5,-19.2,  entry lookback=5 (n=9549)
2017-10-16,2026-09-09,8.9,2129461,112.9,8.87,-39.45,0.22,0.58,583,8.44,84.4,35.7,17.93,-6.99,1.9,-3.33,1.35,0.16,31.8,171.2,-21.0,3.2,-39.4,16.3,-19.0,  entry lookback=20 (n=4443)
