symbol,entry_date,exit_date,entry,exit,qty,pnl,ret_pct,r_mult,hold,reason
TNPETRO,2017-10-25,2017-11-03,77.74387499999999,72.0,1286,-7618.103249999986,-7.619732101081904,-0.6233115439754828,7,ema_close
RAMCOIND,2017-10-17,2017-11-08,292.72999999999996,286.85,341,-2249.6196249999775,-2.253655245448001,-0.18443178641319366,14,ema_close
SUVEN,2017-10-17,2017-11-09,203.357125,187.25,491,-8138.447749999992,-8.150808583667764,-0.6668208813368395,15,ema_close
OBEROIRLTY,2017-10-17,2017-11-14,474.18249999999995,462.1,210,-2779.927499999976,-2.791699398438342,-0.22846356301505633,18,ema_close
IDEA,2017-10-18,2017-11-14,54.485875,56.15,1833,2793.0337500000023,2.7965963655718133,0.22858964502034637,17,ema_close
GMDCLTD,2017-10-24,2017-11-14,174.63549999999998,165.1,571,-5680.450749999989,-5.6965794469051145,-0.46605841980745294,15,ema_close
JTEKTINDIA,2017-11-14,2017-11-15,106.37046299999999,108.15,953,1438.2313860000286,1.4187791962511531,0.11608525019455322,1,ema_close
KIRIINDUS,2017-10-25,2017-11-16,509.97175,514.6,196,654.9830000000075,0.6552813954890713,0.05362092688347226,16,ema_close
PCBL,2017-11-09,2017-11-16,100.75125,92.6,914,-7661.833500000008,-8.320244165705148,-0.6809016143770947,5,ema_close
ICICIBANK,2017-10-26,2017-12-01,300.5495,309.7,329,2755.78624999999,2.786978517681769,0.22805238296192332,26,ema_close
WOCKPHARMA,2017-11-08,2017-12-05,644.1062499999999,636.8,151,-1343.6357499999867,-1.381487914455094,-0.11305645993805978,19,ema_close
SOBHA,2017-12-01,2017-12-14,591.77043675,554.03,171,-6690.462509250006,-6.611602966325444,-0.5410021497139264,9,ema_close
NUCLEUS,2017-10-23,2017-12-15,370.92499999999995,488.75,269,31366.240625000035,31.43576868639217,2.572600661886383,39,ema_close
RAMCOSYS,2017-12-05,2017-12-18,484.60849999999994,425.39,199,-11996.11302499997,-12.439314415657146,-1.0179584927007592,9,stop
GULFOILLUB,2017-11-15,2017-12-27,982.3869427499999,983.92,102,-94.52776049998647,-0.09433581714814251,-0.007719836330441396,29,ema_close
VENKEYS,2017-11-15,2018-01-01,2580.435,2798.0,39,8212.23000000001,8.160252050526376,0.6678083820940972,32,ema_close
ADFFOODS,2017-11-17,2018-01-03,52.480875,62.0,1914,17922.93525000001,17.84292849538047,1.4583876808067455,32,ema_close
PARAGMILK,2017-12-14,2018-01-15,268.519625,290.4,352,7446.339999999982,7.87814857107742,0.6445647992626341,21,ema_close
SUNDRMFAST,2017-12-18,2018-01-17,538.693375,564.0,194,4635.945250000019,4.4360346922774205,0.36298647912248344,21,ema_close
SHRIRAMFIN,2017-11-03,2018-01-19,252.24133075,286.86,376,12746.971238000013,13.440112748057262,1.0995801486771708,54,ema_close
GMBREW,2017-12-18,2018-01-19,568.0361489999999,638.12,195,13355.26744500002,12.0570761421735,0.9866371440455476,23,ema_close
HFCL,2018-01-03,2018-01-19,32.330625,31.1,3581,-4685.290874999977,-4.046859595198032,-0.3311817750355941,12,ema_close
KOLTEPATIL,2017-11-20,2018-01-30,278.59475,370.1,364,32971.12000000001,32.51317549953832,2.660615807136199,49,ema_close
SPARC,2018-01-01,2018-01-30,502.40287499999994,474.0,218,-6450.156749999995,-5.889272628067659,-0.48194314079606143,20,ema_close
CONCOR,2018-01-15,2018-01-30,461.30709175,449.61,226,-2897.572385499996,-2.7793018965657343,-0.2274171361455513,10,ema_close
GNFC,2018-01-17,2018-01-30,447.64712699999995,452.03,244,793.6827120000089,0.7266433321708857,0.05945839561269666,8,ema_close
WOCKPHARMA,2017-12-27,2018-01-31,804.005,747.6,124,-7225.975999999981,-7.247964875840306,-0.5931497786146862,24,ema_close
SWANCORP,2018-01-22,2018-02-01,226.66525,205.5,524,-11359.795999999973,-9.564324482910349,-0.782487073749559,7,ema_close
SUVEN,2018-01-30,2018-02-01,219.54749999999999,192.72,532,-14528.54759999999,-12.438902743142139,-1.0179591836734694,2,stop
SHAKTIPUMP,2018-01-30,2018-02-02,94.886625,83.29,1231,-14531.770349999992,-12.441005252320855,-1.017955655201406,3,stop
SONATSOFTW,2017-10-25,2018-02-05,64.86175,99.8,1541,53455.363750000004,53.481057788295885,4.373404355911369,71,ema_close
ALEMBICLTD,2018-01-23,2018-02-05,67.77220799999999,58.5,1560,-14692.794479999982,-13.897227606927002,-1.1371916764225192,8,ema_close
BIOCON,2017-11-21,2018-02-07,212.129,297.5,364,30804.319000000018,39.894238882943895,3.2638069343206464,54,ema_close
