,r5,r5,r10,r10,r20,r20
,mean,count,mean,count,mean,count
rvol,,,,,,
"(3.0, 4.0]",-0.51,6089,-0.26,6048,0.31,5976
"(4.0, 6.0]",-0.56,8841,-0.31,8785,0.42,8685
"(6.0, 10.0]",-0.65,9171,-0.3,9108,0.24,8969
"(10.0, 1000000000.0]",-1.85,8332,-1.58,8210,-1.06,8047
