,r5,r5,r10,r10,r20,r20
,mean,count,mean,count,mean,count
turnover_cr,,,,,,
"(0.0, 1.0]",-2.01,475,-2.64,470,-2.64,457
"(1.0, 5.0]",-1.95,3689,-1.83,3648,-1.78,3580
"(5.0, 20.0]",-1.64,7205,-1.43,7120,-1.03,7022
"(20.0, 1000000000.0]",-0.45,21064,-0.09,20913,0.67,20618
