"Sr.","Stock Name","Symbol","close","%_change","volume","Add Column"
77,"RBZ Jewellers Ltd","RBZJEWEL","181.5","1.58%","84,185",""
78,"Divgi Torqtransfer Systems Ltd","DIVGIITTS","1,189.6","1.56%","1,08,278",""
79,"Restaurant Brands Asia Ltd","RBA","98.3","1.53%","18,59,850",""
80,"Rswm Limited","RSWM","217.7","1.51%","25,424",""
81,"Optiemus Infracom Ltd","OPTIEMUS","566","1.5%","1,39,418",""
82,"Par Drugs & Chemicals Ltd","PAR","143.19","1.5%","74,275",""
83,"Entero Healthcare Solutions Ltd","ENTERO","1,819.5","1.48%","78,036",""
84,"Antelopus Selan Energy Ltd","ANTELOPUS","1,140.75","1.48%","37,06,511",""
85,"Aegis Vopak Terminals Ltd","AEGISVOPAK","296.1","1.46%","15,41,369",""
86,"Genesys International Corporation Limited","GENESYS","304","1.44%","23,47,471",""
87,"Emmvee Photovoltaic Power Ltd","EMMVEE","347.55","1.43%","32,92,913",""
88,"Novartis India Ltd","NOVARTIND","2,462.6","1.42%","3,95,096",""
89,"Bilcare Ltd","BI","91.1","1.41%","25,167",""
90,"Indo Count Industries Limited","ICIL","445.5","1.38%","3,89,946",""
91,"Azad Engineering Ltd","AZAD","2,811.2","1.36%","3,10,175",""
92,"Fujiyama Power Systems Ltd","UTLSOLAR","446.95","1.29%","1,35,143",""
93,"Avalon Technologies Ltd","AVALON","2,255","1.26%","2,92,003",""
94,"Arvind Limited","ARVIND","577","1.26%","3,89,174",""
95,"Coforge (Niit Tech) Ltd","COFORGE","1,855.2","1.21%","23,80,354",""
96,"Amagi Media Labs Ltd","AMAGI","578.9","1.2%","3,43,124",""
97,"Unichem Laboratories Limited","UNICHEMLAB","539.05","1.19%","48,904",""
98,"Finolex Cables Limited","FINCABLES","1,433.1","1.04%","30,99,839",""
99,"Vedant Fashions Ltd","MANYAVAR","582.6","1.04%","1,84,438",""
100,"Cupid Limited","CUPID","280.3","1.03%","96,67,767",""
101,"Valiant Laboratories Ltd","VALIANTLAB","126","0.96%","2,17,424",""
102,"Rossell Techsys Ltd","ROSSTECH","1,218","0.94%","1,35,510",""
103,"Apar Industries Limited","APARINDS","17,504","0.93%","1,44,800",""
104,"Gocl Corporation Limited","GOCLCORP","436.1","0.9%","99,866",""
105,"Sri Lotus Developers & Realty Ltd","LOTUSDEV","209.7","0.88%","19,26,464",""
106,"Samvardhana Motherson International Ltd","MOTHERSON","164.63","0.88%","1,13,87,134",""
107,"West Coast Paper Mills Limited","WSTCSTPAPR","716.3","0.87%","2,39,068",""
108,"ACME Solar Holdings Ltd","ACMESOLAR","400.7","0.87%","10,26,693",""
